"","","","","","","","","","","","","",""
"1","Model","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"65","Chevrolet Express","2,827","2,714","3,053","3,116","2,996","3,116","4,078","4,404","4,241","3,327","3,327","3,460"
"66","Chevrolet Malibu","12,315","11,823","13,300","13,753","13,224","13,753","10,667","11,520","11,093","6,215","6,215","6,463"
"67","Chevrolet Silverado","41,774","40,103","45,116","47,711","45,876","47,711","45,983","49,662","47,822","47,168","47,168","49,054"
"68","Chevrolet Spark","49","47","53","0","0","0","0","0","0","0","0","0"
"69","Chevrolet Suburban","4,583","4,400","4,950","5,626","5,409","5,626","3,873","4,183","4,028","3,337","3,337","3,470"
"70","Chevrolet Tahoe","8,966","8,607","9,683","9,879","9,499","9,879","8,839","9,546","9,193","8,630","8,630","8,975"
"71","Chevrolet TrailBlazer","9,194","8,827","9,930","11,432","10,993","11,432","9,830","10,617","10,224","6,097","6,097","6,341"
"72","Chevrolet Traverse","10,373","9,958","11,203","12,543","12,061","12,543","10,358","11,187","10,773","0","7,420","7,717"
"73","Chevrolet Trax","2,127","2,042","2,297","7,064","6,793","7,064","12,138","13,109","12,623","14,515","14,515","15,096"
"74","Chrysler 200","0","0","0","0","0","0","0","0","0","1","1","1"
"75","Chrysler 300","983","944","1,062","1,421","1,366","1,421","1,270","1,371","1,321","661","661","688"
"76","Chrysler Pacifica","9,510","9,129","10,271","15,173","14,589","15,173","12,293","13,276","12,784","2,749","2,859","2,859"
"77","Chrysler Town and Country","0","0","0","0","0","0","0","0","0","1","1","0"
"78","Dodge Challenger","3,740","3,591","4,040","4,357","4,190","4,357","3,550","3,834","3,692","3,161","3,161","3,288"
"79","Dodge Charger","7,279","6,988","7,861","8,308","7,988","8,308","5,421","5,855","5,638","4,037","4,037","4,199"
"80","Dodge Dart","0","0","0","0","0","0","0","0","0","1","1","1"
"81","Dodge Durango","5,746","5,516","6,205","6,632","6,377","6,632","5,280","5,702","5,491","5,136","5,136","5,342"
"82","Dodge Grand Caravan","0","0","0","0","0","0","0","0","0","8","8","9"
"83","Dodge Hornet","0","0","0","877","843","877","562","607","584","1,633","1,633","1,698"
"84","Dodge Journey","3","3","3","0","0","0","1","0","0","8","8","8"
"85","Dodge Viper","0","0","0","0","0","0","0","0","0","1","1","0"
"86","Fiat 124 Spider","0","0","0","0","0","0","0","0","0","9","9","10"
"87","Fiat 500","0","0","0","0","0","0","1","0","0","5","5","5"
"88","Fiat 500L","1","1","1","0","0","0","0","0","0","1","1","1"
"89","Fiat 500X","44","43","48","48","46","48","46","50","48","43","43","45"
"90","Ford Bronco","10,170","12,113","10,147","9,483","8,211","8,456","12,755","10,450","9,683","4,805","2,911","6,481"
"91","Ford Bronco Sport","9,438","8,908","11,525","11,526","10,594","11,152","12,939","11,301","8,992","8,306","9,949","12,846"
"92","Ford E-Series","2,848","3,514","4,423","3,183","2,732","2,820","4,558","3,613","2,811","4,218","4,150","4,087"
"93","Ford EcoSport","575","624","450","320","250","289","0","0","0","0","0","0"
"94","Ford Edge","4,969","6,513","8,800","11,034","7,685","7,483","9,633","6,259","8,325","11,015","9,939","14,443"
"95","Ford Escape","7,878","6,447","6,824","17,133","11,733","14,824","12,413","12,432","13,929","12,573","11,542","13,240"
"96","Ford Expedition","5,693","6,899","6,767","6,255","6,782","6,970","4,753","6,923","5,385","4,704","4,906","7,359"
"97","Ford Explorer","15,617","19,174","23,270","18,327","14,531","13,474","8,664","8,572","16,473","16,634","12,513","19,520"
"98","Ford F-Series","55,001","54,995","60,381","69,595","70,566","72,355","68,536","63,287","58,654","53,509","53,069","70,841"
"99","Ford GT","6","12","12","1","0","0","0","0","0","0","0","0"
"100","Ford Maverick","6,272","7,648","7,558","6,583","6,965","7,473","7,627","8,299","8,005","9,530","10,379","7,719"
"101","Ford Mustang","4,004","4,959","10,302","5,141","3,559","2,060","1,233","2,036","6,575","4,270","4,293","4,727"
"102","Ford Mustang Mach E","2,626","1,783","998","1,606","2,917","4,110","3,937","5,033","5,872","2,732","4,294","4,863"
"103","Ford Ranger","2,871","3,962","4,667","4,201","4,002","4,415","4,315","2,069","1,001","453","206","172"
"104","Ford Transit","10,129","11,208","10,678","9,406","11,282","11,343","13,516","11,641","8,849","8,142","8,585","14,230"
"105","Ford Transit Connect","1,165","1,459","1,199","2,146","1,270","1,508","1,095","1,695","2,587","995","1,476","1,455"
"106","Genesis G70","804","719","1,057","1,139","1,156","1,353","1,310","1,394","1,751","982","684","897"
"107","Genesis G80","226","172","611","383","490","887","627","293","437","472","338","404"
"108","Genesis G90","105","111","140","120","113","114","108","119","92","68","68","130"
"109","Genesis GV60","129","171","212","267","276","265","261","258","379","353","434","395"
"110","Genesis GV70","1,401","1,762","2,145","2,219","2,234","1,878","2,525","2,451","1,994","2,059","2,322","2,837"
"111","Genesis GV80","1,207","1,241","1,491","1,474","1,336","1,506","1,499","1,938","1,991","1,790","2,084","2,140"
"112","GMC Acadia","5,245","5,035","5,665","8,173","7,859","8,173","4,935","5,330","5,133","3,544","3,544","3,686"
"113","GMC Canyon","1,650","1,584","1,782","2,265","2,178","2,265","2,445","2,640","2,542","1,022","1,022","1,063"
"114","GMC Hummer EV","1","1","0","32","15","16","374","404","389","667","667","694"
"115","GMC Savana","1,578","1,515","1,704","2,454","2,360","2,454","2,306","2,491","2,399","831","831","865"
"116","GMC Sierra","22,105","21,220","23,873","25,598","24,614","25,598","23,468","25,345","24,406","26,155","26,155","27,201"
"117","GMC Terrain","5,897","5,661","6,369","6,651","6,395","6,651","5,450","5,886","5,668","5,667","5,667","5,894"
"118","GMC Yukon","6,488","6,228","7,007","7,519","7,230","7,519","6,781","7,324","7,053","6,290","6,290","6,541"
"119","Honda Accord","14,737","11,509","16,560","19,297","20,007","17,735","17,873","17,661","16,823","15,346","13,935","16,464"
"120","Honda Civic","13,313","14,812","17,423","16,317","16,110","15,979","17,154","17,077","18,696","17,228","16,837","19,435"
"121","Honda CR-V","20,031","16,126","31,084","31,776","33,521","31,159","33,097","30,991","34,566","31,397","31,412","36,297"
"122","Honda HR-V","8,013","8,371","10,120","8,970","9,300","9,136","8,919","11,404","12,801","11,696","10,642","12,834"
"123","Honda Insight","0","0","0","0","1","0","0","0","0","0","0","0"
"124","Honda Odyssey","5,609","6,262","8,031","7,314","7,011","5,239","5,240","2,713","5,713","5,500","5,919","6,960"
"125","Honda Passport","3,212","3,839","4,368","4,255","4,420","3,710","3,280","0","3,550","3,411","3,173","3,571"
"126","Honda Pilot","6,950","7,271","10,483","9,949","10,439","10,691","9,962","10,089","6,563","8,223","9,113","10,565"
