"","","","","","","","","","","","","",""
"1","Model","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"269","Subaru CrossTrek","12,706","14,816","14,040","10,310","10,456","13,802","11,241","13,920","13,341","13,768","14,994","15,799"
"270","Subaru Forester","10,114","10,030","10,264","9,651","10,582","10,669","14,504","15,294","15,237","15,479","15,089","15,653"
"271","Subaru Impreza","2,451","2,591","3,802","3,554","3,939","2,954","2,800","2,205","2,868","2,662","2,370","2,523"
"272","Subaru Legacy","1,269","1,526","2,265","2,494","2,058","2,347","2,170","2,765","2,727","2,172","1,838","1,878"
"273","Subaru Outback","10,414","9,108","13,245","15,263","17,146","16,225","12,430","14,503","14,545","12,396","12,233","14,304"
"274","Subaru Solterra","499","347","513","603","436","574","758","915","1,118","1,210","943","956"
"275","Subaru WRX","2,006","2,598","3,005","2,667","2,771","2,326","1,894","1,677","1,630","1,420","1,305","1,382"
"276","Tesla Model 3","20,724","19,895","22,382","19,753","18,994","19,753","16,667","18,000","17,333","0","0","0"
"277","Tesla Model S","5,263","5,053","5,684","1,047","1,006","1,047","1,090","1,177","1,133","0","0","0"
"278","Tesla Model X","1,974","1,895","2,132","1,992","1,916","1,992","1,795","1,938","1,867","0","0","0"
"279","Tesla Model Y","27,961","26,842","30,197","35,623","34,253","35,623","30,128","32,538","31,333","0","0","0"
"280","Toyota 4Runner","7,945","5,684","7,487","10,354","9,979","0","11,206","12,569","12,083","10,344","10,025","12,275"
"281","Toyota Avalon","13","20","5","2","1","2","0","8","1","3","0","0"
"282","Toyota bZ4X","458","509","731","734","611","616","714","931","1,182","1,326","848","669"
"283","Toyota C-HR","346","345","59","13","6","5","0","1","1","0","0","1"
"284","Toyota Camry","16,774","24,253","25,010","27,939","28,060","28,706","25,110","16,638","25,485","24,596","22,673","25,405"
"285","Toyota Corolla","13,049","16,398","13,528","16,729","17,308","20,485","21,382","24,134","22,679","22,272","21,005","23,400"
"286","Toyota Corolla Cross","3,279","5,240","5,995","5,622","2,571","5,629","7,472","6,322","7,030","7,446","0","7,484"
"287","Toyota Crown","0","58","1,335","1,920","1,610","1,232","2,060","2,418","2,421","1,907","1,831","2,271"
"288","Toyota GR86","441","592","1,005","1,078","969","1,178","1,371","1,143","960","794","757","790"
"289","Toyota Grand Highlander","0","0","0","0","0","159","5,377","0","10,177","7,571","7,735","8,354"
"290","Toyota Highlander","14,264","18,821","22,259","19,353","20,025","18,542","8,590","8,663","9,407","9,536","9,499","12,330"
"291","Toyota Land Cruiser","1","1","1","1","0","0","0","1","0","0","0","1"
"292","Toyota Mirai","222","238","208","203","406","445","463","287","132","57","53","23"
"293","Toyota Prius","2,486","864","0","3,001","3,888","2,466","3,940","4,667","4,342","1,452","3,532","5,178"
"294","Toyota RAV4","23,419","30,027","31,258","30,386","33,677","38,250","37,821","39,895","38,098","42,226","42,842","47,044"
"295","Toyota Sequoia","1,231","1,345","1,808","1,808","1,760","0","1,639","2,445","2,129","1,976","1,948","2,468"
"296","Toyota Sienna","2,506","2,745","5,236","4,768","6,267","6,418","6,158","7,344","6,311","0","6,594","0"
"297","Toyota Supra","307","317","247","276","228","246","157","134","185","85","225","245"
"298","Toyota Tacoma","17,851","17,058","18,674","21,454","20,487","21,321","20,126","22,131","20,579","17,456","18,156","19,475"
"299","Toyota Tundra","6,473","10,320","10,858","11,748","10,561","9,775","10,457","11,235","11,261","10,330","9,654","12,513"
"300","Toyota Venza","2,888","2,419","2,159","1,749","1,570","2,292","2,790","3,030","3,190","2,896","2,369","2,555"
"301","Volkswagen Arteon","174","167","188","212","204","212","219","237","228","167","167","174"
"302","Volkswagen Atlas","3,743","3,594","4,043","4,742","4,559","4,742","5,156","5,569","5,362","6,365","6,365","6,619"
"303","Volkswagen Atlas Sport","2,280","2,189","2,462","2,794","2,686","2,794","2,827","3,053","2,940","3,549","3,549","3,691"
"304","Volkswagen Golf","490","470","529","975","937","975","1,216","1,313","1,265","829","829","862"
"305","Volkswagen ID.4","3,210","3,081","3,467","2,259","2,172","2,259","3,432","3,706","3,569","3,498","3,498","3,638"
"306","Volkswagen Jetta","1,505","1,444","1,625","3,934","3,782","3,934","4,594","4,961","4,777","5,543","5,543","5,765"
"307","Volkswagen Taos","4,422","4,245","4,776","4,634","4,456","4,634","5,262","5,683","5,472","5,035","5,035","5,236"
"308","Volkswagen Tiguan","6,496","6,236","7,015","6,428","6,181","6,428","5,421","5,855","5,638","6,753","6,753","7,023"
"309","Volvo 60-Series","523","603","883","527","466","1,337","722","944","1,501","1,775","1,742","1,296"
"310","Volvo 90-Series","212","154","211","192","228","201","176","120","141","147","134","112"
"311","Volvo C40","292","341","532","904","832","1,632","564","359","330","304","284","215"
"312","Volvo XC40","1,641","2,178","2,264","1,759","2,115","2,193","2,443","2,495","2,540","2,764","2,684","3,067"
"313","Volvo XC60","2,515","2,738","3,506","3,431","3,717","3,925","3,161","2,946","3,211","3,307","3,170","4,075"
"314","Volvo XC90","2,510","2,546","2,834","2,798","3,365","3,645","3,719","3,780","3,223","2,999","3,657","4,844"
"315","","∑ =  1,112,450","∑ =  1,149,576","∑ =  1,331,008","∑ =  1,374,415","∑ =  1,351,753","∑ =  1,370,803","∑ =  1,300,944","∑ =  1,326,442","∑ =  1,334,470","∑ =  1,150,659","∑ =  1,167,944","∑ =  1,307,623"
